Designator,Mid X,Mid Y,Rotation,Layer
C1,62.2,-22.8,0.0,top
C10,56.0,-19.1,180.0,top
C11,36.5,-25.9,0.0,top
C12,28.7,-23.3,90.0,top
C13,11.0,-39.8,0.0,top
C14,63.5,-27.9,270.0,top
C15,11.8,-34.2,0.0,top
C16,11.8,-32.4,0.0,top
C17,47.0,-23.7,0.0,top
C18,11.0,-41.6,180.0,top
C3,55.1,-21.8,270.0,top
C4,53.0,-24.7,270.0,top
C6,37.5,-9.9,270.0,top
C7,43.1,-22.2,270.0,top
C9,75.3,-28.15,90.0,top
D1,57.1,-21.9,270.0,top
D2,59.3,-21.9,90.0,top
D3,14.2,-43.1,270.0,top
D5,15.3,-36.5,0.0,top
Q1,74.0,-24.15,0.0,top
Q2,32.2,-23.2,180.0,top
Q3,9.9,-37.0,0.0,top
R11,32.2,-25.9,0.0,top
R13,72.6,-29.05,180.0,top
R14,41.3,-22.3,270.0,top
R15,72.6,-27.25,0.0,top
R16,7.0,-37.0,90.0,top
R17,77.1,-24.25,270.0,top
R18,27.7,-5.8,90.0,top
R19,26.8,-23.3,90.0,top
R2,62.2,-21.1,180.0,top
R20,32.2,-27.6,0.0,top
R21,36.5,-27.6,180.0,top
R22,66.0,-26.1,270.0,top
R23,60.5,-27.9,270.0,top
R25,47.0,-15.7,90.0,top
R3,56.0,-17.4,0.0,top
R4,51.4,-24.7,90.0,top
R47,55.1,-9.0,0.0,top
R48,59.475,-19.1,180.0,top
R6,43.1,-18.7,90.0,top
R7,35.7,-9.9,90.0,top
R8,67.0,-9.25,0.0,top
U1,49.8,-20.1,90.0,top
